trial,n,q,success,precond?
1,10,31,93,0
1,11,31,67,0
1,12,31,85,0
1,10,31,53,1
1,11,31,45,1
1,12,31,45,1
2,10,31,83,0
2,11,31,96,0
2,12,31,71,0
2,10,31,47,1
2,11,31,38,1
2,12,31,49,1
3,10,31,100,0
3,11,31,87,0
3,12,31,92,0
3,10,31,50,1
3,11,31,52,1
3,12,31,25,1
4,10,31,81,0
4,11,31,88,0
4,12,31,84,0
4,10,31,52,1
4,11,31,57,1
4,12,31,35,1
5,10,31,74,0
5,11,31,91,0
5,12,31,89,0
5,10,31,41,1
5,11,31,57,1
5,12,31,57,1
6,10,31,97,0
6,11,31,83,0
6,12,31,86,0
6,10,31,55,1
6,11,31,42,1
6,12,31,55,1
7,10,31,80,0
7,11,31,100,0
7,12,31,71,0
7,10,31,37,1
7,11,31,38,1
7,12,31,39,1
8,10,31,91,0
8,11,31,90,0
8,12,31,95,0
8,10,31,40,1
8,11,31,44,1
8,12,31,53,1
9,10,31,87,0
9,11,31,100,0
9,12,31,100,0
9,10,31,62,1
9,11,31,39,1
9,12,31,34,1
10,10,31,100,0
10,11,31,91,0
10,12,31,83,0
10,10,31,52,1
10,11,31,47,1
10,12,31,44,1
