trial,n,q,success,precond?
1,100,31,100,0
1,10,31,82,0
1,11,31,93,0
1,12,31,100,0
1,13,31,92,0
1,14,31,87,0
1,15,31,90,0
1,16,31,92,0
1,17,31,100,0
1,18,31,100,0
1,19,31,100,0
1,20,31,100,0
1,21,31,90,0
1,22,31,100,0
1,23,31,87,0
1,24,31,82,0
1,25,31,78,0
1,26,31,91,0
1,27,31,100,0
1,28,31,100,0
1,29,31,92,0
1,30,31,99,0
1,31,31,87,0
1,32,31,100,0
1,33,31,92,0
1,34,31,89,0
1,35,31,88,0
1,36,31,91,0
1,37,31,91,0
1,38,31,83,0
1,39,31,82,0
1,40,31,100,0
1,41,31,89,0
1,42,31,91,0
1,43,31,100,0
1,44,31,89,0
1,45,31,100,0
1,46,31,100,0
1,47,31,92,0
1,48,31,100,0
1,49,31,76,0
1,50,31,78,0
1,51,31,91,0
1,52,31,99,0
1,53,31,94,0
1,54,31,91,0
1,55,31,89,0
1,56,31,100,0
1,57,31,89,0
1,58,31,91,0
1,59,31,100,0
1,60,31,89,0
1,61,31,91,0
1,62,31,84,0
1,63,31,72,0
1,64,31,84,0
1,65,31,100,0
1,66,31,93,0
1,67,31,91,0
1,68,31,100,0
1,69,31,88,0
1,70,31,78,0
1,71,31,72,0
1,72,31,80,0
1,73,31,98,0
1,74,31,60,0
1,75,31,81,0
1,76,31,100,0
