trial,n,q,success,precond?
1,100,31,72,0
1,10,31,100,0
1,11,31,100,0
1,12,31,89,0
1,13,31,76,0
1,14,31,88,0
1,15,31,95,0
1,16,31,83,0
1,17,31,100,0
1,18,31,85,0
1,19,31,94,0
1,20,31,82,0
1,21,31,100,0
1,22,31,91,0
1,23,31,81,0
1,24,31,100,0
1,25,31,88,0
1,26,31,81,0
1,27,31,100,0
1,28,31,100,0
1,29,31,100,0
1,30,31,100,0
1,31,31,100,0
1,32,31,92,0
1,33,31,78,0
1,34,31,75,0
1,35,31,100,0
1,36,31,94,0
1,37,31,100,0
1,38,31,100,0
1,39,31,92,0
1,40,31,100,0
1,41,31,99,0
1,42,31,89,0
1,43,31,100,0
1,44,31,100,0
1,45,31,93,0
1,46,31,90,0
1,47,31,74,0
1,48,31,94,0
1,49,31,99,0
1,50,31,80,0
1,51,31,92,0
1,52,31,90,0
1,53,31,79,0
1,54,31,100,0
1,55,31,68,0
1,56,31,75,0
1,57,31,78,0
1,58,31,89,0
1,59,31,93,0
1,60,31,92,0
1,61,31,81,0
1,62,31,90,0
1,63,31,86,0
1,64,31,80,0
1,65,31,83,0
1,66,31,71,0
1,67,31,100,0
1,68,31,80,0
1,69,31,89,0
1,70,31,88,0
1,71,31,91,0
1,72,31,90,0
1,73,31,83,0
1,74,31,75,0
1,75,31,100,0
1,76,31,100,0
1,77,31,85,0
1,78,31,100,0
1,79,31,99,0
1,80,31,99,0
1,81,31,90,0
1,82,31,97,0
1,83,31,70,0
1,84,31,89,0
1,85,31,83,0
1,86,31,76,0
1,87,31,100,0
1,88,31,100,0
1,89,31,100,0
1,90,31,85,0
1,91,31,82,0
1,92,31,100,0
1,93,31,100,0
1,94,31,93,0
1,95,31,100,0
1,96,31,92,0
1,97,31,85,0
1,98,31,96,0
1,99,31,95,0
1,100,31,36,1
1,10,31,80,1
1,11,31,36,1
1,12,31,45,1
1,13,31,50,1
1,14,31,44,1
1,15,31,36,1
1,16,31,30,1
1,17,31,55,1
1,18,31,51,1
1,19,31,31,1
1,20,31,25,1
1,21,31,29,1
1,22,31,25,1
1,23,31,24,1
1,24,31,37,1
1,25,31,23,1
1,26,31,42,1
1,27,31,34,1
1,28,31,16,1
1,29,31,25,1
1,30,31,33,1
1,31,31,26,1
1,32,31,35,1
1,33,31,26,1
1,34,31,23,1
1,35,31,16,1
1,36,31,25,1
1,37,31,32,1
1,38,31,27,1
1,39,31,32,1
1,40,31,35,1
1,41,31,16,1
1,42,31,19,1
1,43,31,31,1
1,44,31,17,1
1,45,31,20,1
1,46,31,25,1
1,47,31,22,1
1,48,31,18,1
1,49,31,36,1
1,50,31,15,1
1,51,31,20,1
1,52,31,21,1
1,53,31,25,1
1,54,31,34,1
1,55,31,39,1
1,56,31,32,1
1,57,31,27,1
1,58,31,27,1
1,59,31,26,1
1,60,31,29,1
1,61,31,23,1
1,62,31,15,1
1,63,31,18,1
1,64,31,26,1
1,65,31,23,1
1,66,31,32,1
1,67,31,33,1
1,68,31,21,1
1,69,31,23,1
1,70,31,24,1
1,71,31,31,1
1,72,31,19,1
1,73,31,24,1
1,74,31,34,1
1,75,31,38,1
1,76,31,29,1
1,77,31,31,1
1,78,31,41,1
1,79,31,28,1
1,80,31,24,1
1,81,31,26,1
1,82,31,21,1
1,83,31,30,1
1,84,31,32,1
1,85,31,22,1
1,86,31,28,1
1,87,31,23,1
1,88,31,25,1
1,89,31,24,1
1,90,31,29,1
1,91,31,42,1
1,92,31,27,1
1,93,31,32,1
1,94,31,33,1
1,95,31,27,1
