trial,n,q,success,precond?
1,10,31,100,0
1,11,31,76,0
1,12,31,100,0
1,10,31,45,1
1,11,31,32,1
1,12,31,42,1
2,10,31,79,0
2,11,31,92,0
2,12,31,83,0
2,10,31,46,1
2,11,31,31,1
2,12,31,47,1
3,10,31,85,0
3,11,31,86,0
3,12,31,80,0
3,10,31,51,1
3,11,31,42,1
3,12,31,53,1
4,10,31,100,0
4,11,31,100,0
4,12,31,80,0
4,10,31,62,1
4,11,31,27,1
4,12,31,34,1
5,10,31,100,0
5,11,31,93,0
5,12,31,100,0
5,10,31,44,1
5,11,31,38,1
5,12,31,39,1
6,10,31,94,0
6,11,31,99,0
6,12,31,100,0
6,10,31,44,1
6,11,31,47,1
6,12,31,47,1
7,10,31,100,0
7,11,31,92,0
7,12,31,92,0
7,10,31,48,1
7,11,31,47,1
7,12,31,53,1
8,10,31,88,0
8,11,31,100,0
8,12,31,94,0
8,10,31,43,1
8,11,31,48,1
8,12,31,29,1
9,10,31,100,0
9,11,31,83,0
9,12,31,100,0
9,10,31,54,1
9,11,31,51,1
9,12,31,41,1
10,10,31,94,0
10,11,31,82,0
10,12,31,100,0
10,10,31,57,1
10,11,31,41,1
10,12,31,39,1
