trial,n,q,success,precond?
1,10,31,94,0
1,11,31,100,0
1,12,31,85,0
1,10,31,42,1
1,11,31,42,1
1,12,31,39,1
2,10,31,95,0
2,11,31,100,0
2,12,31,100,0
2,10,31,48,1
2,11,31,43,1
2,12,31,49,1
3,10,31,93,0
3,11,31,73,0
3,12,31,100,0
3,10,31,43,1
3,11,31,57,1
3,12,31,35,1
4,10,31,81,0
4,11,31,94,0
4,12,31,82,0
4,10,31,58,1
4,11,31,32,1
4,12,31,38,1
5,10,31,89,0
5,11,31,100,0
5,12,31,100,0
5,10,31,39,1
5,11,31,39,1
5,12,31,35,1
6,10,31,59,0
6,11,31,92,0
6,12,31,86,0
6,10,31,30,1
6,11,31,38,1
6,12,31,34,1
7,10,31,86,0
7,11,31,91,0
7,12,31,88,0
7,10,31,54,1
7,11,31,46,1
7,12,31,49,1
8,10,31,100,0
8,11,31,100,0
8,12,31,93,0
8,10,31,58,1
8,11,31,51,1
8,12,31,39,1
9,10,31,90,0
9,11,31,100,0
9,12,31,91,0
9,10,31,45,1
9,11,31,42,1
9,12,31,41,1
10,10,31,75,0
10,11,31,100,0
10,12,31,100,0
10,10,31,43,1
10,11,31,47,1
10,12,31,48,1
