trial,n,q,success,precond?
1,10,31,93,0
1,11,31,100,0
1,12,31,78,0
1,10,31,71,1
1,11,31,38,1
1,12,31,46,1
2,10,31,100,0
2,11,31,100,0
2,12,31,99,0
2,10,31,47,1
2,11,31,44,1
2,12,31,45,1
3,10,31,99,0
3,11,31,89,0
3,12,31,88,0
3,10,31,58,1
3,11,31,46,1
3,12,31,41,1
4,10,31,85,0
4,11,31,100,0
4,12,31,100,0
4,10,31,44,1
4,11,31,50,1
4,12,31,28,1
5,10,31,100,0
5,11,31,78,0
5,12,31,100,0
5,10,31,73,1
5,11,31,42,1
5,12,31,43,1
6,10,31,100,0
6,11,31,100,0
6,12,31,90,0
6,10,31,60,1
6,11,31,58,1
6,12,31,59,1
7,10,31,75,0
7,11,31,82,0
7,12,31,78,0
7,10,31,39,1
7,11,31,46,1
7,12,31,45,1
8,10,31,89,0
8,11,31,92,0
8,12,31,71,0
8,10,31,45,1
8,11,31,43,1
8,12,31,37,1
9,10,31,86,0
9,11,31,99,0
9,12,31,91,0
9,10,31,46,1
9,11,31,63,1
9,12,31,51,1
10,10,31,97,0
10,11,31,100,0
10,12,31,90,0
10,10,31,68,1
10,11,31,40,1
10,12,31,49,1
